,Quarter,Viewers in thousands
0,Q1 2012,17035
1,Q2 2012,15922
2,Q3 2012,15900
3,Q4 2012,18754
4,Q1 2013,16892
5,Q2 2013,17358
6,Q3 2013,15288
7,Q4 2013,15789
8,Q1 2014,17526
9,Q2 2014,15056
10,Q3 2014,15324
11,Q4 2014,14579
12,Q1 2015,14872
13,Q2 2015,14915
14,Q3 2015,14384
15,Q4 2015,17713
16,Q1 2016,14437
17,Q2 2016,15563
18,Q3 2016,14379
19,Q4 2016,14754
20,Q1 2017,14536
21,Q2 2017,17194
22,Q3 2017,14183
23,Q4 2017,13466
24,Q1 2018,12434
25,Q2 2018,12380
26,Q3 2018,11734
27,Q4 2018,12904
28,Q1 2019,12957
29,Q2 2019,12504
30,Q3 2019,12633
