,Country,Index value*
0,Hong Kong,90.2
1,Singapore,89.4
2,New Zealand,84.4
3,Switzerland,81.9
4,Australia,80.9
5,Ireland,80.5
6,United Kingdom,78.9
7,Canada,77.7
8,United Arab Emirates,77.6
9,Taiwan,77.3
10,Iceland,77.1
11,Netherlands,76.8
12,United States,76.8
13,Denmark,76.7
14,Estonia,76.6
15,Georgia,75.9
16,Luxembourg,75.9
17,Chile,75.4
18,Sweden,75.2
19,Finland,74.9
20,Lithuania,74.2
21,Malaysia,74.0
22,Czech Republic,73.7
23,Germany,73.5
24,Mauritius,73.0
25,Norway,73.0
26,Israel,72.8
27,Qatar,72.6
28,South Korea,72.3
29,Japan,72.1
30,Austria,72.0
31,Macedonia,71.1
32,Rwanda,71.1
33,Macau,71.0
34,Latvia,70.4
35,Botswana,69.5
36,Bulgaria,69.0
37,Saint Lucia,68.7
38,Jamaica,68.6
39,Malta,68.6
40,Romania,68.6
41,Uruguay,68.6
42,Thailand,68.3
43,Cyprus,68.1
44,Peru,67.8
45,Poland,67.8
46,Armenia,67.7
47,Belgium,67.3
48,Colombia,67.3
49,Panama,67.2
