,Week ending,Overall number of cases
0,"Jan 3, 2021",26399030
1,"Dec 27, 2020",24852487
2,"Dec 20, 2020",23090136
3,"Dec 13, 2020",21449615
4,"Dec 6, 2020",19783739
5,"Nov 29, 2020",18134231
6,"Nov 22, 2020",16456357
7,"Nov 15, 2020",14699720
8,"Nov 8, 2020",12834822
9,"Nov 1, 2020",10792065
10,"Oct 25, 2020",9000456
11,"Oct 18, 2020",7546982
12,"Oct 11, 2020",6524917
13,"Oct 4, 2020",5792088
14,"Sep 27, 2020",5296135
15,"Sep 20, 2020",4866302
16,"Sep 13, 2020",4494040
17,"Sep 6, 2020",4186329
18,"Aug 30, 2020",3927459
19,"Aug 23, 2020",3701141
20,"Aug 16, 2020",3503597
21,"Aug 9, 2020",3324984
22,"Aug 2, 2020",3172906
23,"Jul 26, 2020",3038264
24,"Jul 19, 2020",2914451
25,"Jul 12, 2020",2801420
26,"Jul 5, 2020",2693061
27,"Jun 28, 2020",2583466
28,"Jun 21, 2020",2465777
29,"Jun 14, 2020",2343012
30,"Jun 7, 2020",2218607
31,"May 31, 2020",2098794
32,"May 24, 2020",1972937
33,"May 17, 2020",1842383
34,"May 10, 2020",1690110
35,"May 3, 2020",1514294
36,"Apr 26, 2020",1342103
37,"Apr 19, 2020",1140730
38,"Apr 12, 2020",918559
39,"Apr 5, 2020",674172
40,"Mar 29, 2020",418130
41,"Mar 22, 2020",189932
42,"Mar 15, 2020",60776
43,"Mar 8, 2020",13299
44,"Mar 1, 2020",2291
45,"Feb 23, 2020",177
46,"Feb 16, 2020",46
47,"Feb 9, 2020",41
48,"Feb 2, 2020",24
49,"Jan 26, 2020",3
