,State,Miles of freight railroad
0,Texas,12092
1,Illinois,7877
2,California,5241
3,Minnesota,4366
4,Missouri,4131
5,Ohio,4051
6,Kansas,3810
7,Pennsylvania,3623
8,Georgia,3333
9,Iowa,3318
10,Indiana,3265
11,Wisconsin,3231
12,Virginia,3046
13,Colorado,2844
14,Montana,2750
15,Louisiana,2616
16,Alabama,2616
17,Oklahoma,2611
18,New York,2599
19,Nebraska,2552
20,Arkansas,2518
21,North Carolina,2314
22,Kentucky,2313
23,North Dakota,2227
24,Tennessee,2133
25,West Virginia,2119
26,South Carolina,2069
27,New Mexico,2048
28,Michigan,2048
29,Washington,1996
30,Nevada,1991
31,Wyoming,1840
32,Florida,1800
33,Mississippi,1777
34,Utah,1695
35,New Jersey,1573
36,Oregon,1481
37,Arizona,1350
38,South Dakota,1019
39,Idaho,953
40,Maryland,816
41,Massachusetts,399
42,Delaware,247
43,Connecticut,68
44,District of Columbia,33
