,Industrial Sector,Share of GDP
0,"Mining, quarrying, and oil and gas extraction",16.81%
1,Real estate and rental and leasing,11.5%
2,Construction,9.09%
3,Manufacturing,8.54%
4,Health care and social assistance,6.44%
5,Transportation and warehousing,5.48%
6,Public administration,5.21%
7,"Professional, scientific and technical services",5.18%
8,Wholesale trade,4.85%
9,Finance and insurance,4.66%
10,Retail trade,4.38%
11,Educational services,3.92%
12,"Administrative and support, waste management and remediation services",2.59%
13,Accommodation and food services,2.3%
14,Other services (except public administration),2.11%
15,Information and cultural industries,2.07%
16,"Agriculture, forestry, fishing and hunting",1.83%
17,Utilities,1.69%
18,Management of companies and enterprises,0.72%
19,"Arts, entertainment and recreation",0.62%
