,Month,Number of cases
0,"Jan 6, 2021",1149591
1,"Jan 5, 2021",1127759
2,"Jan 4, 2021",1113349
3,"Jan 3, 2021",1100748
4,"Jan 2, 2021",1088889
5,"Jan 1, 2021",1073887
6,"Dec 31, 2020",1057161
7,"Dec 30, 2020",1039161
8,"Dec 29, 2020",1021451
9,"Dec 28, 2020",1011871
10,"Dec 27, 2020",1004413
11,"Dec 26, 2020",994911
12,"Dec 25, 2020",983359
13,"Dec 24, 2020",968563
14,"Dec 23, 2020",954258
15,"Dec 22, 2020",940212
16,"Dec 21, 2020",930711
17,"Dec 20, 2020",921922
18,"Dec 19, 2020",912477
19,"Dec 18, 2020",901538
20,"Dec 17, 2020",892813
21,"Dec 16, 2020",883687
22,"Dec 15, 2020",873679
23,"Dec 14, 2020",866127
24,"Dec 13, 2020",860964
25,"Dec 12, 2020",852965
26,"Dec 11, 2020",845083
27,"Dec 10, 2020",836764
28,"Dec 9, 2020",828598
29,"Dec 8, 2020",821889
30,"Dec 7, 2020",817878
31,"Dec 6, 2020",814565
32,"Dec 5, 2020",810449
33,"Dec 4, 2020",805804
34,"Dec 3, 2020",800872
35,"Dec 2, 2020",796472
36,"Dec 1, 2020",792299
37,"Nov 30, 2020",790004
38,"Nov 29, 2020",787702
39,"Nov 28, 2020",785139
40,"Nov 27, 2020",781941
41,"Nov 26, 2020",778571
42,"Nov 25, 2020",775502
43,"Nov 24, 2020",772252
44,"Nov 23, 2020",769759
45,"Nov 22, 2020",767679
46,"Nov 21, 2020",765409
47,"Nov 20, 2020",762763
48,"Nov 19, 2020",759658
49,"Nov 18, 2020",757144
50,"Nov 17, 2020",754256
51,"Nov 16, 2020",752269
52,"Nov 15, 2020",751024
53,"Nov 14, 2020",749182
54,"Nov 13, 2020",746945
55,"Nov 12, 2020",744732
56,"Nov 11, 2020",742394
57,"Nov 10, 2020",740254
58,"Nov 9, 2020",738525
59,"Nov 8, 2020",737278
60,"Nov 7, 2020",735906
61,"Nov 6, 2020",734175
62,"Nov 5, 2020",732414
63,"Nov 4, 2020",730548
64,"Nov 3, 2020",728836
65,"Nov 2, 2020",727595
66,"Nov 1, 2020",726823
67,"Oct 31, 2020",725452
68,"Oct 30, 2020",723682
69,"Oct 29, 2020",721770
70,"Oct 28, 2020",719714
71,"Oct 27, 2020",717851
72,"Oct 26, 2020",716759
73,"Oct 25, 2020",715868
74,"Oct 24, 2020",714246
75,"Oct 23, 2020",712412
76,"Oct 22, 2020",710515
77,"Oct 21, 2020",708359
78,"Oct 20, 2020",706304
79,"Oct 19, 2020",705254
80,"Oct 18, 2020",703793
81,"Oct 17, 2020",702131
82,"Oct 16, 2020",700203
83,"Oct 15, 2020",698184
84,"Oct 14, 2020",696414
85,"Oct 13, 2020",694537
86,"Oct 12, 2020",693359
87,"Oct 11, 2020",692471
88,"Oct 10, 2020",690896
89,"Oct 9, 2020",688352
90,"Oct 8, 2020",686891
91,"Oct 7, 2020",685155
92,"Oct 6, 2020",683242
93,"Oct 5, 2020",682215
94,"Oct 4, 2020",681289
95,"Oct 3, 2020",679716
96,"Oct 2, 2020",677833
97,"Oct 1, 2020",676084
98,"Sep 30, 2020",674339
99,"Sep 29, 2020",672572
100,"Sep 28, 2020",671669
101,"Sep 27, 2020",670766
102,"Sep 26, 2020",669498
103,"Sep 25, 2020",668529
104,"Sep 24, 2020",667049
105,"Sep 23, 2020",665188
106,"Sep 22, 2020",663282
107,"Sep 21, 2020",661936
108,"Sep 20, 2020",661211
109,"Sep 19, 2020",659656
110,"Sep 18, 2020",657627
111,"Sep 17, 2020",655572
112,"Sep 16, 2020",653444
113,"Sep 15, 2020",651521
114,"Sep 14, 2020",650749
115,"Sep 13, 2020",649793
116,"Sep 12, 2020",648214
117,"Sep 11, 2020",646398
118,"Sep 10, 2020",644438
119,"Sep 9, 2020",642431
120,Sep 8. 2020,640441
121,Sep 7. 2020,639362
122,"Sep 6, 2020",638517
123,"Sep 5, 2020",636884
124,"Sep 4, 2020",635078
125,"Sep 3, 2020",633015
126,"Sep 2, 2020",630595
127,Sep 1. 2020,628259
128,Aug 31. 2020,627041
129,"Aug 30, 2020",625056
130,"Aug 29, 2020",622551
131,"Aug 28, 2020",620132
132,"Aug 27, 2020",618286
133,"Aug 26, 2020",615701
134,"Aug 25, 2020",613017
135,"Aug 24, 2020",611450
136,"Aug 23, 2020",609773
137,"Aug 22, 2020",607045
138,"Aug 21, 2020",603338
139,"Aug 20, 2020",599940
140,"Aug 19, 2020",596060
141,"Aug 18, 2020",592144
142,"Aug 17, 2020",589886
143,"Aug 16, 2020",587345
144,"Aug 15, 2020",583653
145,"Aug 14, 2020",579140
146,"Aug 13, 2020",572865
147,"Aug 12, 2020",568919
148,"Aug 11, 2020",566109
149,"Aug 10, 2020",563598
150,"Aug 9, 2020",559859
151,"Aug 8, 2020",553188
152,"Aug 7, 2020",545476
153,"Aug 6, 2020",538184
154,"Aug 5, 2020",529877
155,"Aug 4, 2020",521318
156,"Aug 3, 2020",516862
157,"Aug 2, 2020",511485
158,"Aug 1, 2020",503290
159,"Jul 31, 2020",493183
160,"Jul 30, 2020",482169
161,"Jul 29, 2020",471123
162,"Jul 28, 2020",459761
163,"Jul 27, 2020",452529
164,"Jul 26, 2020",445433
165,"Jul 25, 2020",434200
166,"Jul 24, 2020",421996
167,"Jul 23, 2020",408052
168,"Jul 22, 2020",394948
169,"Jul 21, 2020",381798
170,Jul 20. 2020,373628
171,"Jul 19, 2020",364328
172,"Jul 18, 2020",350879
173,"Jul 17, 2020",337594
174,"Jul 16, 2020",324221
175,"Jul 15, 2020",311049
176,"Jul 14, 2020",298282
177,"Jul 13, 2020",287796
178,"Jul 12, 2020",276242
179,"Jul 11, 2020",264184
180,"Jul 10, 2020",250687
181,"Jul 09, 2020",238339
182,"Jul 08, 2020",224665
183,"Jul 07, 2020",215855
184,"Jul 06, 2020",205721
185,"Jul 05, 2020",196750
186,"Jul 04, 2020",187977
187,"Jul 03, 2020",177124
188,"Jul 02, 2020",168061
189,"Jul 01, 2020",159333
190,"Jun 30, 2020",151290
191,"Jun 29, 2020",144264
192,"Jun 28, 2020",138134
193,"Jun 27, 2020",131800
194,"Jun 26, 2020",124590
195,"Jun 25, 2020",118375
196,"Jun 24, 2020",111796
197,"Jun 23, 2020",106108
198,"Jun 22, 2020",101590
199,"Jun 21, 2020",97302
200,"Jun 20, 2020",92681
201,"Jun 19, 2020",87715
202,"Jun 18, 2020",83890
203,"Jun 17, 2020",80412
204,"Jun 16, 2020",76334
205,"Jun 15, 2020",73533
206,"Jun 14, 2020",70038
207,"Jun 13, 2020",65736
208,"Jun 12, 2020",61927
209,"Jun 11, 2020",58568
210,"Jun 10, 2020",55421
211,"Jun 09, 2020",52991
212,"Jun 08, 2020",50879
213,"Jun 07, 2020",48285
214,"Jun 06, 2020",45973
215,"Jun 05, 2020",43434
216,"Jun 04, 2020",40792
217,"Jun 03, 2020",37525
218,"Jun 02, 2020",35812
219,"Jun 01, 2020",34357
220,"May 31, 2020",32683
221,"May 30, 2020",30967
222,"May 29, 2020",29240
223,"May 28, 2020",27403
224,"May 27, 2020",25937
225,"May 26, 2020",24264
226,"May 25, 2020",23615
