,Year,Inflation rate compared to previous year
0,2024*,11%
1,2023*,11%
2,2022*,11.42%
3,2021*,12.42%
4,2020*,12.6%
5,2019*,15.68%
6,2018,16.33%
7,2017,11.14%
8,2016,7.78%
9,2015,7.67%
10,2014,8.86%
11,2013,7.49%
12,2012,8.89%
13,2011,6.47%
14,2010,8.57%
15,2009,6.25%
16,2008,10.44%
17,2007,8.76%
18,2006,9.6%
19,2005,8.18%
20,2004,8.6%
21,2003,25.34%
22,2002,45.13%
23,2001,54.25%
24,2000,55.04%
25,1999,64.87%
26,1998,84.72%
27,1997,85.65%
28,1996,80.24%
29,1995,89.57%
30,1994,104.54%
31,1993,66.1%
32,1992,70.07%
33,1991,65.97%
34,1990,60.32%
35,1989,63.27%
36,1988,73.67%
37,1987,38.85%
38,1986,34.62%
39,1985,44.51%
40,1984,48.38%
