,Month,Units sold
0,Dec '19,515
1,Nov '19,398
2,Oct '19,431
3,Sep '19,1490
4,Aug '19,302
5,Jul '19,675
6,Jun '19,1154
7,May '19,773
8,Apr '19,811
9,Mar '19,2176
10,Feb '19,183
11,Jan '19,403
12,Dec '18,439
13,Nov '18,384
14,Oct '18,535
15,Sep '18,1199
16,Aug '18,363
17,Jul '18,627
18,Jun '18,1358
19,May '18,924
20,Apr '18,674
21,Mar '18,1938
22,Feb '18,233
23,Jan '18,339
24,Dec '17,323
25,Nov '17,343
26,Oct '17,522
27,Sep '17,1305
28,Aug '17,370
29,Jul '17,682
30,Jun '17,1297
31,May '17,907
32,Apr '17,902
33,Mar '17,2101
34,Feb '17,272
35,Jan '17,263
36,Dec '16,400
37,Nov '16,322
38,Oct '16,337
39,Sep '16,1510
40,Aug '16,226
41,Jul '16,596
42,Jun ´16,1148
43,May '16,856
44,Apr '16,807
45,Mar '16,1688
46,Feb '16,215
47,Jan '16,320
