,Response,Share of respondents
0,United Arab Emirates,65%
1,Bahrain,63%
2,Saudi Arabia,60%
3,Ecuador,52%
4,Vietnam,42%
5,Colombia,42%
6,Egypt,41%
7,Mexico,41%
8,China,38%
9,Chile,36%
10,Pakistan,36%
11,Brazil,35%
12,Kenya,35%
13,Taiwan,35%
14,Russia,34%
15,Venezuela,34%
16,Algeria,33%
17,Morocco,32%
18,South Africa,31%
19,Ukraine,30%
20,Belgium,29%
21,Singapore,29%
22,Peru,26%
23,Philippines,25%
24,Denmark,25%
25,United Kingdom,25%
26,United States,24%
27,Malaysia,24%
28,Canada,23%
29,Sweden,23%
30,Israel,22%
31,Norway,22%
32,Poland,21%
33,Hongkong,20%
34,Argentina,20%
35,Portugal,19%
36,Turkey,19%
37,Indonesia,19%
38,Japan,19%
39,South Korea,17%
40,Switzerland,14%
41,Spain,14%
42,France,14%
43,Thailand,13%
44,Australia,12%
45,Netherlands,12%
46,Ireland,11%
47,Italy,10%
48,Greece,9%
49,Germany,8%
50,Austria,0%
