,Month,Number of viewers in thousands
0,November 2020,26.59
1,October 2020,29.58
2,September 2020,19.54
3,August 2020,13.13
4,July 2020,8.61
5,June 2020,8.62
6,May 2020,9.35
7,April 2020,11.45
8,March 2020,14.18
9,February 2020,12.48
10,January 2020,7.64
11,December 2019,8.38
12,November 2019,7.85
13,October 2019,9.01
14,September 2019,4.88
15,August 2019,5.18
16,July 2019,4.88
17,June 2019,8.17
18,May 2019,7.76
19,April 2019,7.4
20,March 2019,4.9
21,February 2019,5.6
22,January 2019,5.01
23,December 2018,4.14
24,November 2018,7.56
25,October 2018,7.21
26,September 2018,8.78
27,August 2018,5.23
28,July 2018,4.84
29,June 2018,5.71
30,May 2018,3.02
31,April 2018,7.61
32,March 2018,7.43
33,February 2018,2.59
34,January 2018,3.39
