,Quarter,Revenue in billion U.S. dollars
0,Q4 '18,31.37
1,Q3 '18,26.5
2,Q2 '18,25.63
3,Q1 '18,23.9
4,Q4 '17,26.18
5,Q3 '17,21.83
6,Q2 '17,20.85
7,Q1 '17,19.4
8,Q4 '16,21.65
9,Q3 '16,18.2
10,Q2 '16,16.92
11,Q1 '16,15.87
12,Q4 '15,17.38
13,Q3 '15,14.69
14,Q2 '15,14.3
15,Q1 '15,13.18
16,Q4 '14,14.15
17,Q3 '14,12.21
18,Q2 '14,11.68
19,Q1 '14,11.41
20,Q4 '13,12.11
21,Q3 '13,10.61
22,Q2 '13,10.26
23,Q1 '13,9.81
24,Q4 '12,10.31
25,Q3 '12,9.24
26,Q2 '12,8.72
27,Q1 '12,8.31
28,Q4 '11,8.97
29,Q3 '11,7.82
30,Q2 '11,7.68
31,Q1 '11,7.26
32,Q4 '10,7.45
33,Q3 '10,6.47
34,Q2 '10,6.19
35,Q1 '10,5.94
36,Q4 '09,6.26
37,Q3 '09,5.5
38,Q2 '09,5.43
39,Q1 '09,5.47
40,Q4 '08,6.1
41,Q3 '08,5.84
42,Q2 '08,5.75
43,Q1 '08,5.77
44,Q4 '07,5.95
45,Q3 '07,5.27
46,Q2 '07,5.09
47,Q1 '07,4.9
