,Us University,Tuition and other fees
0,Duke University - Fuqua School of Business,117604
1,University of Pennsylvania - The Wharton School,136420
2,University of Chicago - Booth School of Business,123354
3,Stanford University - Stanford Graduate School of Business,126750
4,Columbia University - Columbia Business School,133135
5,Yale University - Yale School of Managment,123373
6,Northwestern University - Kellogg School of Management,124642
7,Harvard University - Harvard Business School,140511
8,"University of Michigan, Ann Arbor - Ross School of Business",109557
9,Carnegie Mellon University - Tepper School of Business,118004
10,"University of California, Los Angeles - Anderson School of Management",102318
11,"University of North Carolina, Chapel Hill - Kenan-Flagler Business School",80078
12,Cornell University - Johnson Graduate School of Management,116384
13,Massachusetts Institute of Technology - Sloan School of Management,122880
14,Dartmouth College - Tuck School of Business,64680
15,Indiana University - Kelley School of Business,55202
16,University of Maryland - Smith School of Business,82626
17,Emory University - Goizueta Business School,97438
18,"University of California, Berkeley - Haas School of Business",103308
19,University of Virginia - Darden School of Business,104850
