,Month,Number of goals
0,Harry Kane (England),6
1,Antoine Griezmann (France),4
2,Romelu Lukaku (Belgium),4
3,Denis Cheryshev (Russia),4
4,Cristiano Ronaldo (Portugal),4
5,Kylian Mbappe (France),4
6,Artem Dzyuba (Russia),3
7,Eden Hazard (Belgium),3
8,Mario Mandzukic (Croatia),3
9,Ivan Perisic (Croatia),3
10,Yerry Mina (Columbia),3
11,Diego Costa (Spain),3
12,Edinson Cavani (Uruguay),3
13,Wahbi Khazri (Tunisia),2
14,Philippe Coutinho (Brazil),2
15,Neymar (Brazil),2
16,Takashi Inui (Japan),2
17,Luis Suarez (Uruguay),2
18,Luka Modric (Croatia),2
19,Mohamed Salah (Egypt),2
20,Sergio Agüero (Argentina),2
21,Ahmed Musa (Nigeria),2
22,Heung-Min Son (South Korea),2
23,Mile Jedinak (Australia),2
24,Andreas Granqvist (Sweden),2
25,John Stones (England),2
