,Response,Percentage of state population
0,Puerto Rico,98.15%
1,New Mexico,49.26%
2,Texas,39.75%
3,California,39.42%
4,Arizona,31.74%
5,Nevada,29.24%
6,Florida,26.37%
7,Colorado,21.83%
8,New Jersey,20.91%
9,New York,19.27%
10,United States,18.43%
11,Illinois,17.49%
12,Connecticut,16.86%
13,Rhode Island,16.3%
14,Utah,14.41%
15,Oregon,13.44%
16,Washington,13.02%
17,Idaho,12.84%
18,Massachusetts,12.39%
19,Kansas,12.18%
20,Nebraska,11.35%
21,District of Columbia,11.26%
22,Oklahoma,11.07%
23,Hawaii,10.66%
24,Maryland,10.64%
25,Wyoming,10.13%
26,Georgia,9.82%
27,North Carolina,9.75%
28,Virginia,9.7%
29,Delaware,9.59%
30,Pennsylvania,7.79%
31,Arkansas,7.69%
32,Indiana,7.21%
33,Alaska,7.18%
34,Wisconsin,7.09%
35,Iowa,6.26%
36,South Carolina,5.8%
37,Tennessee,5.7%
38,Minnesota,5.57%
39,Louisiana,5.38%
40,Michigan,5.27%
41,Alabama,4.47%
42,Missouri,4.31%
43,North Dakota,4%
44,Ohio,4%
45,New Hampshire,3.98%
46,Montana,3.77%
47,Kentucky,3.76%
48,South Dakota,3.73%
49,Mississippi,3.03%
50,Vermont,1.99%
51,Maine,1.72%
52,West Virginia,1.5%
