,Year,Temperature in Celsius
0,2019,5.13
1,2018,5.52
2,2017,5.97
3,2016,6.18
4,2015,5.95
5,2014,4.85
6,2013,4.83
7,2012,6.04
8,2011,5.11
9,2010,5.17
10,2009,4.78
11,2008,4.52
12,2007,5.37
13,2006,5.6
14,2005,5.43
15,2004,5.32
16,2003,5.22
17,2002,5.12
18,2001,5.41
19,2000,5.12
20,1999,5.31
21,1998,6.01
22,1997,4.82
23,1996,4.47
24,1995,4.98
25,1994,4.97
26,1993,4.35
27,1992,5.04
28,1991,5.28
29,1990,5.22
30,1989,4.27
31,1988,4.48
32,1987,5.18
33,1986,5.41
34,1985,4.19
35,1984,4.65
36,1983,4.82
37,1982,4.36
38,1981,5.09
39,1980,4.63
40,1979,3.92
41,1978,4.07
42,1977,4.73
43,1976,3.82
44,1975,4.32
45,1974,4.56
46,1973,4.86
47,1972,4.24
48,1971,4.32
49,1970,4.26
50,1969,4.34
51,1968,4.13
52,1967,4.27
53,1966,4.08
54,1965,4.38
55,1964,4.13
56,1963,4.36
57,1962,4.36
58,1961,4.39
59,1960,4.14
60,1959,4.48
61,1958,4.52
62,1957,4.79
63,1956,4.31
64,1955,4.12
65,1954,4.93
66,1953,4.98
67,1952,4.36
68,1951,3.91
69,1950,3.98
70,1949,4.36
71,1948,4.1
72,1947,4.42
73,1946,4.85
74,1945,4.33
75,1944,4.35
76,1943,4.19
77,1942,4.34
78,1941,5.13
79,1940,4.47
80,1939,4.78
81,1938,5.08
82,1937,4.26
83,1936,4.28
84,1935,4.51
85,1934,5.24
86,1933,4.76
87,1932,4.28
88,1931,5.24
89,1930,4.31
90,1929,3.77
91,1928,4.39
92,1927,4.66
93,1926,4.46
94,1925,4.67
95,1924,3.48
96,1923,4.37
97,1922,4.45
98,1921,5.35
99,1920,4.14
100,1919,4.32
101,1918,4.33
102,1917,3.12
103,1916,3.65
104,1915,4.36
105,1914,4.41
106,1913,4.22
107,1912,3.61
108,1911,4.49
109,1910,4.39
110,1909,4.19
111,1908,4.42
112,1907,4.27
113,1906,4.51
114,1905,4.14
115,1904,3.84
116,1903,3.75
117,1902,4.33
118,1901,4.32
119,1900,4.98
120,1899,3.93
121,1898,4.19
122,1897,4.28
123,1896,4.58
124,1895,3.38
