,Month,Market share of sales
0,Dec '19,14.4%
1,Nov '19,13.5%
2,Oct '19,11.8%
3,Sep '19,9.2%
4,Aug '19,10.5%
5,Jul '19,10.1%
6,Jun '19,10.8%
7,May '19,8.2%
8,Apr '19,7.4%
9,Mar '19,8.4%
10,Feb '19,9.2%
11,Jan '19,9.8%
12,Dec '18,9.9%
13,Nov '18,8.5%
14,Oct '18,7.9%
15,Sep '18,7.1%
16,Aug '18,9.8%
17,Jul '18,11.5%
18,Jun '18,11.8%
19,May '18,13.5%
20,Apr '18,12.4%
21,Mar '18,13.6%
22,Feb '18,11.1%
23,Jan '18,12.5%
24,Dec '17,12.7%
25,Nov '17,12.7%
26,Oct '17,14%
27,Sep '17,11.2%
28,Aug '17,11.4%
29,Jul '17,8.6%
30,Jun '17,8%
31,May '17,8.4%
32,Apr '17,7.5%
33,Mar '17,8.1%
34,Feb '17,7%
35,Jan '17,10.2%
36,Dec '16,12.3%
37,Nov '16,13%
38,Oct '16,7.9%
39,Sep '16,6.3%
40,Aug '16,7.1%
41,Jul '16,9.2%
42,Jun '16,8.2%
43,May '16,6.9%
44,Apr '16,5.5%
45,Mar '16,6.4%
46,Feb '16,9.1%
47,Jan '16,11.4%
