,Country,Export value in thousand euros
0,Ireland,30896642
1,Germany,25138028
2,Belgium,19837863
3,Netherlands,12240065
4,Italy,7498260
5,France,6698943
6,United Kingdom,6612902
7,Austria,4480311
8,Spain,2056644
9,Sweden,1551342
10,Denmark,1524808
11,Hungary,1358679
12,Poland,601342
13,Croatia,391962
14,Slovenia,313898
15,Czech Republic,296309
16,Lithuania,204030
17,Finland,74702
18,Bulgaria,39161
19,Slovakia,31736
20,Greece,31025
21,Portugal,26097
22,Luxembourg,22891
23,Latvia,15885
24,Romania,11347
25,Estonia,1568
26,Cyprus,239
