,Year,"Deaths per 1,000 live births"
0,2020,2.0
1,2015,2.0
2,2010,3.0
3,2005,3.0
4,2000,4.0
5,1995,6.0
6,1990,8.0
7,1985,8.0
8,1980,9.0
9,1975,11.0
10,1970,14.0
11,1965,17.0
12,1960,19.0
13,1955,22.0
14,1950,30.98
15,1945,37.4
16,1940,39.4
17,1935,44.8
18,1930,49.6
19,1925,51.8
20,1920,62.2
21,1915,66.2
22,1910,69.4
23,1905,80.0
24,1900,96.0
25,1895,98.0
26,1890,96.6
27,1885,98.8
28,1880,101.0
29,1875,107.2
30,1870,113.6
31,1865,106.6
32,1860,101.0
33,1855,106.0
34,1850,112.0
35,1845,118.2
36,1840,140.2
