,State,"Rate per 100,000 inhabitants"
0,Alaska,148.7
1,Arkansas,77.2
2,South Dakota,72.6
3,Michigan,72.4
4,Nevada,70.2
5,Colorado,67.2
6,Nebraska,64.8
7,New Mexico,61.4
8,Montana,58.4
9,Oklahoma,57.3
10,North Dakota,57.3
11,Utah,56.8
12,Wyoming,56.0
13,Hawaii,54.0
14,Texas,51.1
15,Arizona,50.3
16,Ohio,49.0
17,Louisiana,48.9
18,District of Columbia,48.9
19,Kansas,48.6
20,Illinois,48.0
21,South Carolina,47.8
22,Missouri,47.5
23,Rhode Island,46.3
24,Idaho,45.3
25,Vermont,44.6
26,Washington,43.8
27,Minnesota,43.4
28,New Hampshire,43.4
29,United States,42.6
30,Oregon,42.2
31,Alabama,42.2
32,West Virginia,42.1
33,Tennessee,41.2
34,Florida,39.4
35,Wisconsin,38.8
36,Maine,38.4
37,California,37.5
38,Iowa,36.9
39,Indiana,36.8
40,Kentucky,35.2
41,Pennsylvania,34.0
42,New York,33.8
43,Virginia,33.0
44,Massachusetts,32.0
45,Delaware,31.8
46,Maryland,31.6
47,North Carolina,31.0
48,Georgia,27.5
49,Mississippi,25.1
50,Connecticut,21.6
51,New Jersey,17.2
