,Month,Number of hours
0,Dec 2020,37.8
1,Nov 2020,53.1
2,Oct 2020,66.0
3,Sep 2020,145.3
4,Aug 2020,142.6
5,Jul 2020,142.4
6,Jun 2020,164.2
7,May 2020,265.5
8,Apr 2020,224.5
9,Mar 2020,136.3
10,Feb 2020,72.9
11,Jan 2020,44.5
12,Dec 2019,45.9
13,Nov 2019,48.1
14,Oct 2019,88.5
15,Sep 2019,142.7
16,Aug 2019,174.9
17,Jul 2019,166.3
18,Jun 2019,159.9
19,May 2019,186.9
20,Apr 2019,168.7
21,Mar 2019,115.2
22,Feb 2019,98.9
23,Jan 2019,50.8
24,Dec 2018,36.2
25,Nov 2018,61.8
26,Oct 2018,111.4
27,Sep 2018,132.4
28,Aug 2018,147.0
29,Jul 2018,233.8
30,Jun 2018,234.4
31,May 2018,240.5
32,Apr 2018,131.6
33,Mar 2018,83.7
34,Feb 2018,98.1
35,Jan 2018,49.1
36,Dec 2017,44.5
37,Nov 2017,70.7
38,Oct 2017,72.3
39,Sep 2017,108.5
40,Aug 2017,155.1
41,Jul 2017,168.3
42,Jun 2017,155.3
43,May 2017,207.8
44,Apr 2017,158.1
45,Mar 2017,119.1
46,Feb 2017,54.8
47,Jan 2017,54.7
48,Dec 2016,40.3
49,Nov 2016,74.2
50,Oct 2016,104.6
51,Sep 2016,119.3
52,Aug 2016,180.6
53,Jul 2016,156.4
54,Jun 2016,134.9
55,May 2016,208.3
56,Apr 2016,160.5
57,Mar 2016,116.6
58,Feb 2016,84.4
59,Jan 2016,37.3
60,Dec 2015,29.1
61,Nov 2015,35.5
62,Oct 2015,90.4
63,Sep 2015,151.8
64,Aug 2015,148.2
65,Jul 2015,160.7
66,Jun 2015,188.5
67,May 2015,173.8
68,Apr 2015,211.8
69,Mar 2015,121.0
70,Feb 2015,75.5
71,Jan 2015,58.3
