,Year,"Deaths per 1,000 live births"
0,2020,2.0
1,2015,3.0
2,2010,4.0
3,2005,4.0
4,2000,5.0
5,1995,7.0
6,1990,10.0
7,1985,10.0
8,1980,11.0
9,1975,14.0
10,1970,17.0
11,1965,21.0
12,1960,24.0
13,1955,29.0
14,1950,38.6
15,1945,53.16
16,1940,50.74
17,1935,56.31
18,1930,63.55
19,1925,68.77
20,1920,93.73
21,1915,93.35
22,1910,100.88
23,1905,117.1
24,1900,141.24
25,1895,159.06
26,1890,170.15
27,1885,176.39
28,1880,170.05
29,1875,183.46
30,1870,180.5
31,1865,211.76
32,1860,167.76
33,1855,166.6
34,1850,200.47
35,1845,183.19
36,1840,224.24
37,1835,236.16
38,1830,280.28
39,1825,309.4
40,1820,325.73
41,1815,335.73
