,Year,Inflation rate compared to previous year
0,2024*,3.98%
1,2023*,4.01%
2,2022*,3.96%
3,2021*,4.59%
4,2020*,4.82%
5,2019*,5.36%
6,2018,4.87%
7,2017,6.03%
8,2016,11.83%
9,2015,13.52%
10,2014,18.11%
11,2013,18.3%
12,2012,59.22%
13,2011,53.23%
14,2010,7.74%
15,2009,12.95%
16,2008,14.83%
17,2007,8.43%
18,2006,6.99%
19,2005,10.34%
20,2004,18.09%
21,2003,28.4%
22,2002,42.57%
23,2001,61.13%
24,2000,168.6%
25,1999,293.73%
26,1998,73.02%
27,1997,63.82%
28,1996,52.69%
29,1995,709.3%
30,1994,"2,220.9%"
