,Country,Number of tests
0,Russia*,32968759
1,United Kingdom,16273209
2,Germany**,11208091
3,Italy,8313445
4,Spain*,7955615
5,Turkey,6727860
6,France*,5689576
7,Poland*,2436012
8,Denmark,2321685
9,Belgium,2189246
10,Portugal,1958651
11,Romania,1591015
12,Austria,1133243
13,Switzerland,975563
14,Greece*,858138
15,Ireland,802572
16,Sweden*,783467
17,Norway,669717
18,Lithuania,623841
19,Finland,605900
20,Netherlands*,411972
21,Hungary,405067
22,Bulgaria,384450
23,Slovakia,323580
24,Latvia,244827
25,Iceland,208384
26,Malta,182245
27,Croatia,160236
28,Slovenia,154801
29,Estonia,144868
