,State,Percent change compared to preceding period
0,Texas,4.4%
1,Utah,3.8%
2,Washington,3.8%
3,New Mexico,3.7%
4,Colorado,3.5%
5,Wyoming,3.3%
6,Arizona,3.1%
7,South Carolina,3%
8,Nevada,2.9%
9,Idaho,2.8%
10,Florida,2.8%
11,Rhode Island,2.7%
12,Oregon,2.7%
13,New Hampshire,2.7%
14,California,2.6%
15,Vermont,2.5%
16,Massachusetts,2.5%
17,Alaska,2.5%
18,Oklahoma,2.4%
19,Pennsylvania,2.3%
20,North Dakota,2.3%
21,Alabama,2.3%
22,North Carolina,2.3%
23,United States,2.3%
24,Tennessee,2.2%
25,Missouri,2.1%
26,Montana,2.1%
27,Georgia,2%
28,Virginia,1.9%
29,Maine,1.9%
30,Arkansas,1.8%
31,New York,1.8%
32,Ohio,1.7%
33,Illinois,1.6%
34,District of Columbia,1.6%
35,Connecticut,1.6%
36,New Jersey,1.5%
37,Maryland,1.5%
38,Wisconsin,1.4%
39,Minnesota,1.4%
40,Mississippi,1.3%
41,Louisiana,1.3%
42,Kentucky,1.1%
43,West Virginia,1%
44,Hawaii,1%
45,Kansas,0.9%
46,Iowa,0.9%
47,Delaware,0.8%
48,Indiana,0.8%
49,Michigan,0.7%
50,South Dakota,0.7%
51,Nebraska,0.6%
