,Country,GDP in million euros
0,Germany,3386000.0
1,United Kingdom,2393692.8
2,France *,2348991.0
3,Italy,1756981.5
4,Spain *,1208248.0
5,Netherlands *,773373.0
6,Turkey **,753904.0
7,Switzerland,597314.3
8,Poland,496630.5
9,Sweden,467011.9
10,Belgium,450576.8
11,Austria,386093.8
12,Norway,368546.4
13,Ireland,318459.6
14,Denmark,297633.6
15,Finland,233555.0
16,Czechia,206822.9
17,Romania *,202883.6
18,Portugal ***,201605.7
19,Greece *,184713.6
20,Hungary,131935.1
21,Slovakia,90201.8
22,Luxembourg,58869.2
23,Bulgaria *,55182.2
24,Croatia,51467.8
25,Slovenia,45947.6
26,Lithuania,45133.6
27,Serbia *,42780.2
28,Latvia,29523.7
29,Estonia,25656.9
30,Iceland **,21706.0
31,Cyprus *,20730.9
32,Bosnia and Herzegovina ****,15287.9
33,Malta,12319.8
34,Albania *****,11575.7
35,North Macedonia ***,10734.7
36,Kosovo**,6413.8
37,Liechtenstein*****,5717.4
38,Montenegro **,4299.1
