,Cricket player,Number of runs scored
0,RG Sharma  (India vs Sri Lanka - 2014),264
1,MJ Guptill  (New Zealand vs West Indies - 2015)*,237
2,V Sehwag  (India vs West Indies - 2011),219
3,CH Gayle  (West Indies vs Zimbabwe - 2015),215
4,Fakhar Zaman (Pakistan vs Zimbabwe - 2018)*,210
5,RG Sharma  (India vs Australia - 2013),209
6,RG Sharma (India vs Sri Lanka - 2017)*,208
7,SR Tendulkar  (india vs South Africa - 2010)*,200
8,CK Coventry  (Zimbabwe vs Bangladesh - 2009)*,194
9,Saeed Anwar  (Pakistan vs India - 1997),194
