,Country,GDP per capita in U.S. dollars
0,Bahamas,32996.8
1,Barbados,17758.08
2,St. Kitts and Nevis *,17512.58
3,Antigua and Barbuda *,17464.34
4,Trinidad and Tobago *,16378.65
5,Panama,15642.82
6,Costa Rica,12039.11
7,Grenada *,10939.29
8,St. Lucia *,10754.86
9,Mexico,9796.98
10,Dominican Republic,8340.96
11,Dominica *,7541.63
12,St. Vincent and the Grenadines *,7353.72
13,Colombia,6641.51
14,Suriname *,5798.16
15,Jamaica *,5406.37
16,Guyana *,4984.1
17,Belize *,4862.05
18,Guatemala,4545.09
19,El Salvador,3922.26
20,Venezuela*,3410.85
21,Honduras *,2523.8
22,Nicaragua *,2030.5
23,Haiti *,868.76
