,Country,Hells Angels Charter,Bandidos Chapter
0,United States,77,104
1,Germany,49,73
2,Canada,35,-
3,Great Britain**,20,-
4,Netherlands,17,-
5,Australia,15,33
6,Sweden,13,11
7,Brazil,11,-
8,Spain,10,1
9,Denmark,9,19
10,Italy,9,9
11,France,8,11
12,Norway,8,7
13,Switzerland,7,-
14,South Africa,7,-
15,Austria,6,-
16,Belgium,5,2
17,Portugal,5,-
18,Finland,4,8
19,Argentina,3,-
20,Chile,3,-
21,Greece,3,-
22,New Zealand,3,-
23,Czech Republic,3,-
24,Turkey,3,-
25,Luxembourg,2,-
26,Poland,2,-
27,Hungary,2,-
28,Thailand,1,9
29,Iceland,1,-
30,Croatia,1,-
31,Liechtenstein,1,-
32,Malta,1,-
33,Russia,1,-
34,Indonesia,-,4
35,Ukraine,-,3
36,Channel Islands,-,2
37,Bosnia*,-,1
38,Costa Rica,-,1
39,Estonia,-,1
40,Malaysia,-,1
41,Romania,-,1
42,Serbia,-,1
43,Singapore,-,1
