,Month,Units sold
0,Dec 19,4316
1,Nov 19,5765
2,Oct 19,5752
3,Sep 19,12791
4,Aug 19,1677
5,Jul 19,4153
6,Jun 19,6495
7,May 19,6069
8,Apr 19,5688
9,Mar 19,16680
10,Feb 19,1559
11,Jan 19,5601
12,Dec 18,4321
13,Nov 18,6339
14,Oct 18,6942
15,Sep 18,12827
16,Aug 18,2202
17,Jul 18,3843
18,Jun 18,6024
19,May 18,6566
20,Apr 18,5027
21,Mar 18,16655
22,Feb 18,1500
23,Jan 18,5660
24,Dec 17,4186
25,Nov 17,6241
26,Oct 17,5270
27,Sep 17,14504
28,Aug 17,1512
29,Jul 17,5265
30,Jun 17,6201
31,May 17,5619
32,Apr 17,4116
33,Mar 17,22534
34,Feb 17,1778
35,Jan 17,5427
36,Dec 16,4967
37,Nov 16,5278
38,Oct 16,5645
39,Sep 16,14629
40,Aug 16,1574
41,Jul 16,4882
