,Government departments and agencies,Percentage of employees
0,NASA,97%
1,Environmental Protection Agency,94%
2,Department of Commerce,87%
3,Department of Labor,82%
4,Department of the Interior,81%
5,Department of the Treasury,80%
6,Department of Energy,69%
7,Department of Health and Human Services,52%
8,Department of Defense,50%
9,Department of Transportation,33%
10,Social Security Administration,29%
11,Department of Justice,15%
12,Department of Homeland Security,14%
13,Department of Veteran Affairs,4%
