,Response,Share of respondents who trust news media
0,Finland,56%
1,Portugal,56%
2,Turkey,55%
3,Netherlands,52%
4,Brazil,51%
5,Kenya,50%
6,South Africa,48%
7,Ireland,48%
8,Denmark,46%
9,Belgium,45%
10,Poland,45%
11,Germany,45%
12,Norway,45%
13,Switzerland,44%
14,Canada,44%
15,Austria,40%
16,Croatia,39%
17,Mexico,39%
18,Australia,38%
19,Sweden,38%
20,Romania,38%
21,Japan,37%
22,Spain,36%
23,Singapore,36%
24,Bulgaria,33%
25,Czech Republic,33%
26,Argentina,33%
27,Hong Kong,30%
28,Chile,30%
29,Italy,29%
30,United States,29%
31,Greece,28%
32,Slovakia,28%
33,United Kingdom,28%
34,Hungary,27%
35,Philippines,27%
36,Malaysia,25%
37,Taiwan,24%
38,France,23%
39,South Korea,21%
