,Month,Units sold
0,Dec 19,202
1,Nov 19,196
2,Oct 19,210
3,Sep 19,500
4,Aug 19,208
5,Jul 19,235
6,Jun 19,329
7,May 19,270
8,Apr 19,240
9,Mar 19,615
10,Feb 19,109
11,Jan 19,299
12,Dec 18,258
13,Nov 18,249
14,Oct 18,227
15,Sep 18,474
16,Aug 18,155
17,Jul 18,261
18,Jun 18,420
19,May 18,355
20,Apr 18,304
21,Mar 18,1004
22,Feb 18,177
23,Jan 18,277
24,Dec 17,304
25,Nov 17,391
26,Oct 17,293
27,Sep 17,841
28,Aug 17,143
29,Jul 17,324
30,Jun 17,448
31,May 17,269
32,Apr 17,265
33,Mar 17,1239
34,Feb 17,196
35,Jan 17,284
36,Dec 16,292
37,Nov 16,324
38,Oct 16,227
39,Sep 16,752
40,Aug 16,148
41,Jul 16,433
