,Year,Inflation rate compared to previous year
0,2025*,2.98%
1,2024*,2.98%
2,2023*,2.99%
3,2022*,2.55%
4,2021*,1.61%
5,2020*,2.07%
6,2019,2.82%
7,2018,3.29%
8,2017,3.81%
9,2016,3.53%
10,2015,6.36%
11,2014,6.4%
12,2013,6.41%
13,2012,3.98%
14,2011,5.34%
15,2010,5.14%
16,2009,5.05%
17,2008,9.78%
18,2007,6.66%
19,2006,13.1%
20,2005,10.46%
21,2004,6.06%
22,2003,6.77%
23,2002,11.78%
24,2001,11.5%
25,2000,3.77%
26,1999,20.75%
27,1998,58.02%
28,1997,6.19%
29,1996,8.38%
30,1995,9.43%
31,1994,8.52%
32,1993,9.69%
33,1992,7.51%
34,1991,9.37%
35,1990,7.84%
36,1989,6.42%
37,1988,8.04%
38,1987,9.27%
39,1986,5.83%
40,1985,4.73%
