,Month,Number of transactions in millions
0,Mar '20,154.93
1,Feb '20,180.99
2,Jan '20,185.07
3,Dec '19,204.24
4,Nov '19,207.95
5,Oct '19,213.9
6,Sep '19,211.01
7,Aug '19,225.06
8,Jul '19,225.67
9,Jun '19,220.66
10,May '19,231.7
11,Apr '19,220.25
12,Mar '19,231.81
13,Feb '19,206.8
14,Jan '19,209.31
15,Dec '18,234.5
16,Nov '18,236.63
17,Oct '18,243.09
18,Sep '18,240.09
19,Aug '18,250.49
20,Jul '18,252.72
21,Jun '18,256.68
22,May '18,259.35
23,Apr '18,241.72
24,Mar '18,251.39
25,Feb '18,222.92
26,Jan '18,228.02
27,Dec '17,253.92
28,Nov '17,255.31
29,Oct '17,262.83
30,Sep '17,262.14
31,Aug '17,266.03
32,Jul '17,269.37
33,Jun '17,263.68
34,May '17,269.46
35,Apr '17,261.98
36,Mar '17,269.23
37,Feb '17,234.39
38,Jan '17,236.86
39,Dec '16,269.31
40,Nov '16,261.95
41,Oct '16,276.82
42,Sep '16,270.71
43,Aug '16,269.18
44,Jul '16,275.11
45,Jun '16,263.21
46,May '16,271.7
47,Apr '16,263.89
48,Mar '16,264.01
49,Feb '16,243.28
50,Jan '16,241.62
51,Dec '15,266.5
52,Nov '15,259.68
53,Oct '15,280.7
54,Sep '15,264.14
55,Aug '15,269.9
56,Jul '15,276.18
57,Jun '15,267.46
58,May '15,277.0
59,Apr '15,261.11
60,Mar '15,263.35
61,Feb '15,235.16
62,Jan '15,241.49
63,Dec '14,261.87
64,Nov '14,263.64
65,Oct '14,275.16
66,Sep '14,265.26
67,Aug '14,268.1
68,Jul '14,272.3
69,Jun '14,263.61
70,May '14,277.01
71,Apr '14,259.27
72,Mar '14,268.43
73,Feb '14,233.15
74,Jan '14,241.72
