,Country,2017,2018,2019
0,China,896.0,911.0,1007.0
1,India,202.0,230.0,290.0
2,Indonesia,106.0,120.0,130.0
3,Japan,70.0,71.0,78.0
4,Philippines,57.0,62.0,72.0
5,Vietnam,47.0,50.0,58.0
6,Thailand,44.0,46.0,49.0
7,South Korea,42.75,43.04,43.66
8,Pakistan,29.0,32.0,36.0
9,Bangladesh,24.0,28.0,32.0
10,Malaysia,21.0,22.0,24.0
11,Taiwan,18.0,18.0,21.0
12,Myanmar,15.0,16.0,21.0
13,Australia,15.0,15.0,16.0
14,Nepal,7.5,8.7,9.3
15,Cambodia,5.5,6.3,8.1
16,Sri Lanka,4.9,5.5,5.7
17,Hong Kong,5.1,5.2,5.4
18,Singapore,4.1,4.3,4.2
19,New Zealand,2.9,3.1,3.1
20,Laos,1.9,2.2,2.6
21,Mongolia,1.7,1.9,2.1
22,Papua New Guinea,0.58,0.67,0.68
23,Fiji,0.43,0.47,0.53
24,Timor-Leste,0.38,0.39,0.49
25,Bhutan,0.31,0.35,0.41
26,Macau,0.37,0.38,0.4
27,Brunei,0.33,0.35,0.36
28,Maldives,0.3,0.32,0.35
29,North Korea,0.01,0.01,0.01
