,State,Ratio of millionaire households per capita
0,New Jersey,9.76%
1,Maryland,9.72%
2,Connecticut,9.44%
3,Massachusetts,9.38%
4,Hawaii,9.2%
5,District of Columbia,9.12%
6,California,8.51%
7,New Hampshire,8.47%
8,Virginia,8.31%
9,Alaska,8.18%
10,Washington,7.85%
11,New York,7.52%
12,Colorado,7.48%
13,Minnesota,7.43%
14,Illinois,7.13%
15,Utah,7.05%
16,Delaware,6.98%
17,Rhode Island,6.69%
18,Pennsylvania,6.44%
19,Oregon,6.43%
20,Texas,6.32%
21,Vermont,6.29%
22,North Dakota,6.16%
23,Georgia,6.07%
24,Arizona,6.03%
