,Activity,Share of internet users
0,Using email,90.8%
1,Using text messaging or instant messaging,90.2%
2,Using online social networks,74.4%
3,Watching video online,69.5%
4,"Shopping, making reservations, or using other consumer services online",68.5%
5,"Using online financial services (banking, investing, paying bills etc.)",65.9%
6,"Streaming or downloading music, radio, podcasts etc.",52.6%
7,Participating in online video calls or conferences,46.6%
8,Working remotely via internet,22.6%
9,Searching for a job online,20.8%
10,Taking classes or participating in job training online,19.1%
11,Interacting with household equipment via internet,11%
