,place of contraction,Number of cases
0,"Marion Correctional Institution — Marion, Ohio",2197
1,"Pickaway Correctional Institution — Scioto Township, Ohio",1644
2,"Smithfield Foods pork processing facility — Sioux Falls, S.D.",1033
3,Aboard the U.S.S. Theodore Roosevelt — Guam,856
4,"Cook County jail — Chicago, Ill.",812
5,"Cummins Unit prison — Grady, Ark.",695
6,"Lakeland Correctional Facility — Coldwater, Mich.",673
7,"Bledsoe County Correctional Complex — Pikeville, Tenn.",576
8,"Neuse Correctional Institution — Goldsboro, N.C.",457
9,"Harris County jail — Houston, Texas",267
10,"Parnall Correctional Facility — Jackson, Mich.",240
11,"JBS USA meatpacking plant — Grand Island, Neb.",230
12,"Louisiana Correctional Institute for Women — St. Gabriel, La.",198
13,"Stateville Correctional Center — Crest Hill, Ill.",196
14,"Franklin Medical Center prison hospital — Columbus, Ohio",181
15,"Tyson Foods meatpacking plant — Waterloo, Iowa",180
16,"Soldiers' Home — Holyoke, Mass.",179
17,"Paramus Veterans Memorial Home — Paramus, N.J.",171
18,"Tyson Foods meatpacking plant — Columbus Junction, Iowa",166
19,"Lincoln Park Care Center — Lincoln Park, N.J.",163
20,"Gallatin Center for Rehabilitation and Healing — Gallatin, Tenn.",162
21,"Westville Correctional Facility — Westville, Ind.",154
22,"Hackensack Meridian Health nursing home — West Caldwell, N.J.",151
23,"JBS pork production facility — Worthington, Minn.",151
24,"Sterling Correctional Facility — Sterling, Colo.",148
25,"Andover Subacute and Rehabilitation Center II — Andover, N.J.",144
26,"George Beto Unit prison — Tennessee Colony, Texas",143
27,"Redwood Springs nursing home — Visalia, Calif.",137
28,"Canterbury Rehabilitation and Healthcare Center — Henrico, Va.",128
29,"LM Wind Power factory — Grand Forks, N.D.",128
30,"Life Care Center — Kirkland, Wash.",128
31,"Riverbend Post Acute Rehabilitation — Kansas City, Kan.",128
32,"Ludeman Developmental Center — Park Forest, Ill.",126
33,"Lansing Correctional Facility — Lansing, Kan.",123
34,"Northern State Prison — Newark, N.J.",121
35,"Bergen New Bridge Medical Center — Paramus, N.J.",120
36,"Local community — New Rochelle, N.Y.",119
37,"JFK Hartwyck nursing home — Edison, N.J.",118
38,"Northern Correctional Institution — Somers, Conn.",118
39,"Central Detention Facility — Washington, District",116
40,"G. Robert Cotton Correctional Facility — Jackson, Mich.",114
41,"New Jersey Veterans Memorial Home at Menlo Park — Edison, N.J.",114
42,"Bayshore Healthcare Center nursing home — Holmdel, N.J.",113
43,"California Institution for Men — Chino, Calif.",111
44,"Heritage Specialty Care nursing home — Cedar Rapids, Iowa",111
45,"Oakland Rehabilitation and Healthcare Center — Oakland, N.J.",111
46,"Macomb Correctional Facility — Lenox Township, Mich.",110
47,"Biogen conference — Boston, Mass.",109
48,"Accordius Health nursing home — Harrisonburg, Va.",106
49,"Windermere Health and Rehabilitation Center — Augusta, Ga.",106
50,"Shapiro Developmental Center — Kankakee, Ill.",105
51,Grand Princess cruise in March,103
52,"Lompoc Prison Complex — Lompoc, Calif.",103
53,"Gateway Care and Rehabilitation Center — Hayward, Calif.",102
54,"JBS meatpacking plant — Greeley, Colo.",102
55,"Elkton Prison Complex — Lisbon, Ohio",100
56,"Wynne Unit prison — Huntsville, Texas",100
57,"Pleasant View Nursing Home — Mount Airy, Md.",99
58,"Brakley Park senior care facility — Phillipsburg, N.J.",98
59,"Crowne Health Care nursing home — Mobile, Ala.",98
60,"Durham Nursing and Rehabilitation Center — Durham, N.C.",97
61,"PruittHealth Macon nursing home — Macon, Ga.",97
62,"Los Angeles County prison — Lancaster, Calif.",94
63,"Sapphire of Tucson Nursing and Rehab — Tucson, Ariz.",94
64,"Tomoka Correctional Institution — Daytona Beach, Fla.",94
65,"Wayne Scott Unit prison — Angleton, Texas",94
66,"HudsonView Center for Rehab and Healthcare — North Bergen, N.J.",93
67,"Life Care Center nursing home — Richland, Wash.",93
68,"Plainfield Correctional Facility — Plainfield, Ind.",93
69,"Women's Huron Valley Correctional Facility — Ypsilanti, Mich.",92
70,"Crystal Lake Rehabilitation and Healthcare Center — Bayville, N.J.",90
71,"Hackensack Meridian Health Prospect Heights Care Center — Hackensack, N.J.",90
72,Saint Elizabeths psychiatric hospital — D.C.,90
73,"Tyson Foods plant — Goodlettsville, Tenn.",90
74,"Central Arkansas Community Correction Center — Little Rock, Ark.",89
75,Travel in Europe,88
76,"Arbor Terrace at Cascade senior living facility — Atlanta, Ga.",86
77,"Kane Community assisted living center at Glen Hazel — Pittsburgh, Pa.",86
