,multinational corporation,Expenditure in million NOK
0,Total expenditure,1442610
1,Operating costs,185897
2,Wages and salaries,93379
3,Goods and services,61349
4,Other operating expenses,31846
5,Operating deficit central government enterprises,-677
6,Total fixed capital formation,75443
7,Construction etc. extraction of petroleum,28000
8,Construction etc. other central government enterprises,3173
9,Other fixed capital formation,44270
10,Total transfers,1181270
11,Transfers to other state accounts,64802
12,Transfers to municipalities and county authorities,252251
13,"Pensions benefits etc., National Insurance Scheme",497650
14,Interest expenditure,10016
15,Other transfers,356551
