,Year,Inflation rate compared to previous year
0,2025*,1.44%
1,2024*,1.44%
2,2023*,1.4%
3,2022*,1.2%
4,2021*,1%
5,2020*,-0.1%
6,2019,0.54%
7,2018,1.47%
8,2017,1.09%
9,2016,1.02%
10,2015,-0.6%
11,2014,1.35%
12,2013,1.03%
13,2012,1.62%
14,2011,1.37%
15,2010,1.12%
16,2009,-0.41%
17,2008,2.95%
18,2007,1.82%
19,2006,0.95%
20,2005,1.86%
21,2004,1.64%
22,2003,-0.19%
23,2002,-0.2%
24,2001,-0.2%
25,2000,1.19%
26,1999,0.37%
27,1998,1.48%
28,1997,0.9%
29,1996,2.89%
30,1995,3.93%
31,1994,3.8%
32,1993,2.98%
33,1992,4.28%
34,1991,4.25%
35,1990,4.13%
36,1989,4.41%
37,1988,1.29%
38,1987,0.52%
39,1986,0.69%
40,1985,-0.15%
