,Year,Gross domestic product in billion international dollars
0,2021*,8.6
1,2020*,8.2
2,2019,7.94
3,2018,7.41
4,2017,6.97
5,2016,6.43
6,2015,5.93
7,2014,5.52
8,2013,5.22
9,2012,4.95
10,2011,4.56
11,2010,4.07
12,2009,3.67
13,2008,3.44
14,2007,3.04
15,2006,2.63
16,2005,2.38
17,2004,2.16
18,2003,1.97
19,2002,1.77
20,2001,1.59
21,2000,1.46
22,1999,1.33
23,1998,1.23
24,1997,1.14
25,1996,1.06
26,1995,0.99
27,1994,0.91
28,1993,0.87
29,1992,0.83
30,1991,0.79
31,1990,0.73
32,1989,0.65
33,1988,0.58
34,1987,0.49
35,1986,0.4
36,1985,0.36
37,1984,0.34
