,State,"Larceny theft rate per 100,000 inhabitants"
0,District of Columbia,3750.1
1,Louisiana,2360.4
2,Alaska,2219.0
3,New Mexico,2166.1
4,South Carolina,2156.0
5,Oregon,2109.9
6,Hawaii,2076.2
7,Washington,2045.4
8,Arkansas,2040.2
9,Tennessee,2034.1
10,Arizona,1970.3
11,Alabama,1958.9
12,Kansas,1933.9
13,Montana,1926.5
14,Colorado,1915.9
15,Georgia,1907.0
16,Missouri,1878.8
17,Oklahoma,1856.8
18,Delaware,1845.3
19,Utah,1817.7
20,Florida,1750.8
21,North Carolina,1724.4
22,Texas,1713.1
23,Ohio,1594.6
24,United States,1594.6
25,Indiana,1572.7
26,California,1571.8
27,Mississippi,1561.2
28,Nebraska,1555.3
29,Minnesota,1524.8
30,Maryland,1519.8
31,Illinois,1472.3
32,Nevada,1461.2
33,North Dakota,1448.3
34,Wyoming,1375.9
35,Virginia,1356.4
36,Kentucky,1348.2
37,South Dakota,1264.5
38,Connecticut,1251.8
39,Rhode Island,1250.3
40,New York,1214.0
41,Iowa,1190.4
42,Pennsylvania,1175.9
43,Wisconsin,1168.9
44,Michigan,1162.3
45,Maine,1097.1
46,Idaho,1067.8
47,New Jersey,1065.1
48,West Virginia,1049.6
49,New Hampshire,1048.2
50,Vermont,1008.5
51,Massachusetts,966.8
