,Response,Share of households
0,Netherlands,97%
1,Iceland,97%
2,United Kingdom,95%
3,Norway,94%
4,Kosovo,93%
5,Finland,93%
6,Luxembourg,93%
7,Switzerland *,90%
8,Germany,90%
9,Denmark,90%
10,Sweden,90%
11,Estonia,89%
12,Ireland,88%
13,Austria,88%
14,Slovenia,87%
15,European Union (28 countries),86%
16,Cyprus,86%
17,Spain,86%
18,Czechia,86%
19,Malta,84%
20,Belgium,84%
21,Hungary,83%
22,Italy,83%
23,Turkey,82%
24,Croatia,81%
25,France,81%
26,Latvia,79%
27,Poland,79%
28,Slovakia,79%
29,Romania,79%
30,Lithuania,78%
31,North Macedonia,78%
32,Portugal,77%
33,Greece,76%
34,Serbia,73%
35,Bulgaria,71%
36,Bosnia and Herzegovina,69%
37,Montenegro,69%
