,Response,Share of responding businesses
0,Attracting customers,75%
1,Increasing revenue,74%
2,Maintaining profitability,40%
3,Developing new products/innovation,34%
4,Retaining/recruiting skilled employees,27%
5,Tax laws and rules,18%
6,Securing financing for expansion,16%
7,Securing financing for business as usual,15%
8,"Other government regulations (e.g., compliance, technical regulation, patents, reporting)",13%
9,Finding/working with suppliers,13%
10,Selling to foreign markets,10%
11,Uncertainty over economic conditions,9%
