,Year,Export volume in billion U.S. dollars
0,2019,14.29
1,2018,13.6
2,2017,16.35
3,2016,17.99
4,2015,19.79
5,2014,18.72
6,2013,18.96
7,2012,17.96
8,2011,13.92
9,2010,11.51
10,2009,10.79
11,2008,12.48
12,2007,10.4
13,2006,7.64
14,2005,6.81
15,2004,5.26
16,2003,4.6
17,2002,4.78
18,2001,5.96
19,2000,6.23
20,1999,7.91
21,1998,10.52
22,1997,8.44
23,1996,7.31
24,1995,6.16
25,1994,6.01
26,1993,6.66
27,1992,7.17
28,1991,6.56
29,1990,4.05
30,1989,3.57
31,1988,3.78
32,1987,3.37
33,1986,3.45
34,1985,4.47
