,Month,Index number of sales per week
0,Nov 20,128.6
1,Oct 20,82.7
2,Sep 20,125.8
3,Aug 20,97.0
4,Jul 20,120.3
5,Jun 20,90.4
6,May 20,47.3
7,Apr 20,33.0
8,Mar 20,84.2
9,Feb 20,145.4
10,Jan 20,111.8
11,Dec 19,105.4
12,Nov 19,115.0
13,Oct 19,140.4
14,Sep 19,103.2
15,Aug 19,107.6
16,Jul 19,94.6
17,Jun 19,152.4
18,May 19,104.1
19,Apr 19,89.5
20,Mar 19,152.1
21,Feb 19,135.9
22,Jan 19,105.2
23,Dec 18,118.3
24,Nov 18,106.5
25,Oct 18,74.8
26,Sep 18,96.6
27,Aug 18,101.4
28,Jul 18,111.0
29,Jun 18,95.1
30,May 18,93.9
31,Apr 18,99.9
32,Mar 18,107.7
33,Feb 18,90.8
34,Jan 18,99.5
35,Dec 17,103.1
36,Nov 17,94.0
37,Oct 17,107.2
38,Sep 17,103.3
39,Aug 17,99.3
40,Jul 17,107.4
41,Jun 17,83.2
42,May 17,103.7
43,Apr 17,97.7
44,Mar 17,73.0
45,Feb 17,78.6
46,Jan 17,89.6
47,Dec 16,87.3
48,Nov 16,88.9
49,Oct 16,87.6
50,Sept 16,89.7
51,Aug 16,94.8
52,Jul 16,77.2
53,Jun 16,90.3
54,May 16,75.1
55,Apr 16,88.9
56,Mar 16,87.2
57,Feb 16,90.4
58,Jan 16,91.1
