,State,"Motor vehicle theft rate per 100,000 inhabitants"
0,New Mexico,427.2
1,Colorado,384.0
2,Hawaii,371.1
3,Nevada,365.6
4,Oregon,360.0
5,California,358.8
6,Alaska,357.7
7,Missouri,343.3
8,Oklahoma,338.1
9,District of Columbia,330.6
10,Washington,320.5
11,South Carolina,290.8
12,Tennessee,280.9
13,Texas,267.2
14,Nebraska,257.7
15,Alabama,256.5
16,Kansas,249.9
17,Arizona,249.4
18,Arkansas,245.9
19,North Dakota,235.2
20,Louisiana,230.5
21,Kentucky,228.2
22,Georgia,223.9
23,Montana,222.4
24,United States,219.9
25,Utah,210.2
26,Indiana,203.8
27,Minnesota,198.9
28,South Dakota,198.5
29,Mississippi,193.1
30,Maryland,186.2
31,Florida,181.8
32,Michigan,177.7
33,North Carolina,172.2
34,Connecticut,167.3
35,Delaware,164.7
36,Iowa,163.0
37,Ohio,159.7
38,Illinois,148.2
39,West Virginia,135.0
40,Rhode Island,128.2
41,Wisconsin,126.8
42,Wyoming,123.2
43,Virginia,120.3
44,New Jersey,116.4
45,Pennsylvania,96.8
46,Massachusetts,89.0
47,Idaho,87.9
48,New Hampshire,65.7
49,New York,65.3
50,Maine,54.0
51,Vermont,47.8
