,Target company - bidder company,Deal value in billion euros
0,Willis Towers Watson Public Limited Company - Aon plc,31.1
1,ThyssenKrupp Elevator AG - Cinven Partners LLP; Advent International,17.2
2,Virgin Media Inc; Telefonica O2 Holdings Limited - Virgin Mobile Inc./ Telefonica O2 Europe Plc JV,11.5
3,Ingenico Group S.A. - Worldline SA,9.2
4,Bombardier Transportation GmbH - Alstom SA,7.6
5,Sunrise Communications AG - Liberty Global Plc,6.1
6,CPA Global Limited - Clarivate Analytics Plc,6.0
7,Borealis AG (39% Stake) - OMV AG,5.7
8,iQ Student Accommodation Limited - Blackstone Group L.P,5.5
9,UBI Banca S.p.A (99.92% Stake) - Intesa Sanpaolo S.p.A.,5.5
