,Month,Sales in billion U.S. dollars
0,Sep '20,13.45
1,Aug '20,12.46
2,Jul '20,12.29
3,Jun '20,11.98
4,May '20,12.16
5,Apr '20,11.78
6,Mar '20,11.52
7,Feb '20,11.55
8,Jan '20,12.2
9,Dec '19,12.81
10,Nov '19,13.0
11,Oct '19,13.0
12,Sep '19,12.63
13,Aug '19,12.11
14,Jul '19,11.88
15,Jun '19,11.73
16,May '19,11.88
17,Apr '19,11.28
18,Mar '19,11.03
19,Feb '19,10.71
20,Jan '19,11.62
21,Dec '18,12.71
22,Nov '18,13.82
23,Oct '18,14.51
24,Sep '18,14.53
25,Aug '18,14.3
26,Jul '18,13.8
27,Jun '18,13.59
28,May '18,13.16
29,Apr '18,12.38
30,Mar '18,11.99
31,Feb '18,11.71
32,Jan '18,12.01
33,Dec '17,12.01
34,Nov '17,11.9
35,Oct '17,11.65
36,Sep '17,11.36
37,Aug '17,11.08
38,Jul '17,10.68
39,Jun '17,10.4
40,May '17,10.25
41,Apr '17,10.12
42,Mar '17,10.06
43,Feb '17,10.05
44,Jan '17,10.16
45,Dec '16,10.17
46,Nov '16,10.04
47,Oct '16,9.78
48,Sep '16,9.47
49,Aug '16,8.99
50,Jul '16,8.61
51,Jun '16,8.29
52,May '16,8.09
53,Apr '16,7.8
54,Mar '16,7.95
55,Feb '16,8.04
56,Jan '16,8.42
57,Dec '15,8.45
58,Nov '15,8.67
59,Oct '15,8.58
60,Sep '15,8.45
61,Aug '15,8.23
62,Jul '15,8.18
63,Jun '15,8.13
64,May '15,8.08
65,Apr '15,7.77
66,Mar '15,7.83
