,Month,Value in million GBP
0,Jul 20,2193.6
1,Jun 20,2349.4
2,May 20,2194.4
3,Apr 20,1794.6
4,Mar 20,1512.4
5,Feb 20,1320.6
6,Jan 20,1376.1
7,Dec 19,2074.5
8,Nov 19,1804.0
9,Oct 19,1450.2
10,Sep 19,1320.9
11,Aug 19,1330.7
12,Jul 19,1416.7
13,Jun 19,1351.2
14,May 19,1378.0
15,Apr 19,1347.9
16,Mar 19,1345.2
17,Feb 19,1243.2
18,Jan 19,1278.7
19,Dec 18,1854.6
20,Nov 18,1816.9
21,Oct 18,1332.9
22,Sep 18,1219.0
23,Aug 18,1192.9
24,Jul 18,1246.2
25,Jun 18,1248.2
26,May 18,1264.2
27,Apr 18,1178.2
28,Mar 18,1175.7
29,Feb 18,1093.9
30,Jan 18,1126.9
31,Dec 17,1641.6
32,Nov 17,1608.4
33,Oct 17,1179.7
34,Sep 17,1090.7
35,Aug 17,1046.7
36,Jul 17,1074.4
37,Jun 17,1078.9
38,May 17,1043.1
39,Apr 17,1042.7
40,Mar 17,1009.1
41,Feb 17,949.0
42,Jan 17,992.4
43,Dec 16,1505.6
44,Nov 16,1460.5
45,Oct 16,1076.8
46,Sep 16,960.5
47,Aug 16,879.6
48,Jul 16,894.2
49,Jun 16,898.5
50,May 16,890.5
51,Apr 16,854.0
52,Mar 16,811.7
53,Feb 16,776.5
54,Jan 16,854.4
55,Dec 15,1157.2
56,Nov 15,1137.7
57,Oct 15,828.4
58,Sep 15,763.7
59,Aug 15,711.9
60,Jul 15,758.9
61,Jun 15,766.8
62,May 15,744.6
63,Apr 15,756.3
64,Mar 15,727.7
65,Feb 15,691.0
66,Jan 15,750.9
67,Dec 14,1067.4
68,Nov 14,989.9
69,Oct 14,742.2
70,Sep 14,667.5
71,Aug 14,655.0
72,Jul 14,670.6
73,Jun 14,673.4
74,May 14,680.8
75,Apr 14,661.5
76,Mar 14,646.7
77,Feb 14,620.2
78,Jan 14,629.4
79,Dec 13,960.4
80,Nov 13,827.0
81,Oct 13,662.6
82,Sep 13,606.2
83,Aug 13,576.2
84,Jul 13,584.0
85,Jun 13,585.8
86,May 13,584.0
87,Apr 13,575.2
88,Mar 13,592.8
89,Feb 13,554.2
90,Jan 13,566.9
