,telecommunication companies,Net profit in million SEK
0,Telia Company AB,10986.0
1,Tele2 AB,3372.0
2,Telenor Sverige AB,2864.0
3,Teracom AB,471.43
4,SES Astra AB,303.21
5,Telenor Connexion AB,256.57
6,Canal Digital Sverige AB,224.54
7,Sinch AB (publ),201.3
8,Zitius Service Delivery AB,182.34
9,Boxer TV-Access AB,145.27
10,Verizon Sweden AB,136.67
11,TelaVox AB,73.49
12,Invisio Communications AB,64.2
13,Svenska UMTS-nät AB,49.0
14,Ownit Broadband AB,44.1
15,Svenska Rymd AB,37.67
16,Marlink AB,31.43
17,Bjäre Kraft Bredband AB,28.48
18,Nordic Entertainment Group Technology AB,26.52
19,Iver Sverige AB,23.65
