,Industry,Share of employment
0,Retail trade,15.8%
1,Manufacturing,13.1%
2,Accommodation and food services,10.4%
3,Construction,8.4%
4,"Professional, scientific and technical services",7.7%
5,Transportation and warehousing,6.7%
6,"Administrative and support, waste management and remediation services",6.5%
7,Wholesale trade,6.4%
8,Finance and insurance,6.1%
9,Other services (except public administration),4.9%
10,Information and cultural industries,2.9%
11,"Arts, entertainment and recreation",2.5%
12,Real estate and rental and leasing,2.4%
13,"Mining, quarrying, and oil and gas extraction",1.8%
14,"Agriculture, forestry, fishing and hunting",1.7%
15,Utilities,1%
16,Unclassified businesses,0.9%
17,Management of companies and enterprises,0.8%
