,Country,Development of real wages compared to previous year
0,Malta,2.6%
1,Bulgaria,2.3%
2,Hungary,1.9%
3,Finland,1.5%
4,Estonia,1.3%
5,Netherlands,1.3%
6,Poland,1.2%
7,Luxembourg,1.1%
8,Slovenia,1.1%
9,Denmark,0.7%
10,Portugal,0.4%
11,Czechia,0.2%
12,Romania,0.1%
13,Latvia,0.1%
14,Austria,-0.4%
15,Slovakia,-0.5%
16,Germany,-0.9%
17,Croatia,-1.6%
18,Belgium,-1.6%
19,Sweden,-1.7%
20,EU 27,-1.8%
21,Ireland,-1.9%
22,Spain,-2.6%
23,France,-2.8%
24,Greece,-3.1%
25,Cyprus,-5.2%
26,Italy,-6%
27,Lithuania,-9%
