,Year,GDP per capita in U.S. dollars
0,2025*,6320.22
1,2024*,6070.66
2,2023*,5814.02
3,2022*,5634.56
4,2021*,5235.79
5,2020*,4735.75
6,2019,5977.95
7,2018,6353.85
8,2017,6119.89
9,2016,5266.88
10,2015,5731.73
11,2014,6429.83
12,2013,6907.6
13,2012,7574.43
14,2011,8083.13
15,2010,7380.62
16,2009,5926.4
17,2008,5802.37
18,2007,6123.96
19,2006,5638.68
20,2005,5412.94
21,2004,4868.7
22,2003,3772.06
23,2002,2520.59
24,2001,2667.88
25,2000,3039.04
26,1999,3087.27
27,1998,3159.4
28,1997,3555.7
29,1996,3499.21
30,1995,3752.37
31,1994,3446.84
32,1993,3390.85
33,1992,3481.42
34,1991,3289.04
35,1990,3140.34
36,1989,2753.51
37,1988,2704.74
38,1987,2570.27
39,1986,2003.02
40,1985,1792.07
