,leading food and beverage companies,Number of employees
0,George Weston Limited*,200000
1,McCain Foods Limited,17000
2,Cott Corporation* ***,14200
3,La Coop fédérée,12541
4,Maple Leaf Foods*,11000
5,Agropur Co-operative*,8000
6,Coca-Cola Refreshments Canada,5600
7,Kraft Canada Inc.**,4656
8,Pepsico Canada ULC,4000
9,Nestlé Canada Inc.,3500
10,Molson Coors Canada,3100
11,Premium Brands Holdings Corporation*,3000
12,Maple Lodge Farms Ltd.**,2900
13,Exeldor Cooperative Avicole,2225
14,Lassonde Industries Inc.*,2100
15,Sunrise Farms,2100
16,Saputo Inc.*,2000
17,AGT Food and Ingredients Inc.***,2000
18,Clearwater Seafoods Limited* **,1900
19,SunOpta Inc.,1754
20,High Liner Foods Incorporated*,1293
21,Gay Lea Foods Co-operative Limited,950
22,Kellogg Canada Inc.**,850
23,Rogers Sugar Inc.*,550
