,Year,Import volume in billion U.S. dollars
0,2019,108.85
1,2018,122.19
2,2017,115.92
3,2016,107.65
4,2015,115.9
5,2014,150.26
6,2013,158.43
7,2012,171.79
8,2011,174.29
9,2010,131.42
10,2009,108.1
11,2008,159.98
12,2007,134.82
13,2006,133.68
14,2005,122.87
15,2004,98.65
16,2003,78.83
17,2002,69.5
18,2001,67.37
19,2000,73.35
20,1999,58.46
21,1998,50.27
22,1997,53.7
23,1996,49.55
24,1995,42.47
25,1994,38.46
26,1993,34.46
27,1992,33.53
28,1991,30.64
29,1990,33.19
30,1989,29.66
31,1988,27.39
32,1987,26.13
33,1986,24.12
34,1985,27.14
