,Month,Units sold
0,Dec 19,14687
1,Nov 19,15311
2,Oct 19,13733
3,Sep 19,19632
4,Aug 19,11334
5,Jul 19,15183
6,Jun 19,20474
7,May 19,15737
8,Apr 19,15161
9,Mar 19,38335
10,Feb 19,7960
11,Jan 19,13224
12,Dec 18,16010
13,Nov 18,15772
14,Oct 18,13666
15,Sep 18,16282
16,Aug 18,11255
17,Jul 18,16761
18,Jun 18,23224
19,May 18,18097
20,Apr 18,14607
21,Mar 18,37843
22,Feb 18,7036
23,Jan 18,12579
24,Dec 17,15345
25,Nov 17,13985
26,Oct 17,13756
27,Sep 17,36332
28,Aug 17,6923
29,Jul 17,14094
30,Jun 17,22639
31,May 17,15656
32,Apr 17,9954
33,Mar 17,39485
34,Feb 17,7326
35,Jan 17,12967
36,Dec 16,15634
37,Nov 16,14023
38,Oct 16,14023
39,Sep 16,33722
40,Aug 16,5694
41,Jul 16,14038
