,Year,GDP in billion U.S. dollars
0,2024*,1096.0
1,2023*,1050.23
2,2022*,1009.88
3,2021*,970.52
4,2020*,930.99
5,2019*,902.36
6,2018,914.52
7,2017,833.58
8,2016,783.84
9,2015,765.65
10,2014,892.4
11,2013,877.2
12,2012,839.44
13,2011,904.92
14,2010,848.13
15,2009,870.28
16,2008,952.49
17,2007,848.66
18,2006,733.95
19,2005,686.2
20,2004,657.86
21,2003,479.79
22,2002,473.07
23,2001,431.51
24,2000,417.58
25,1999,447.47
26,1998,438.61
27,1997,417.33
28,1996,450.63
29,1995,421.71
30,1994,381.87
31,1993,355.3
32,1992,365.36
33,1991,330.51
34,1990,320.84
35,1989,260.07
36,1988,263.76
37,1987,246.49
38,1986,201.24
39,1985,144.4
40,1984,142.33
