,Year,Inflation rate compared to previous year
0,2025*,1%
1,2024*,1%
2,2023*,1.38%
3,2022*,2.32%
4,2021*,1.05%
5,2020**,-
6,2019,0.27%
7,2018,-0.22%
8,2017,0.42%
9,2016,1.73%
10,2015,3.97%
11,2014,3.59%
12,2013,2.72%
13,2012,5.1%
14,2011,4.48%
15,2010,3.55%
16,2009,5.16%
17,2008,8.4%
18,2007,2.28%
19,2006,3.3%
20,2005,2.17%
21,2004,2.74%
22,2003,7.93%
23,2002,12.49%
24,2001,37.67%
25,2000,96.1%
26,1999,52.2%
27,1998,36.1%
28,1997,30.6%
29,1996,24.4%
30,1995,22.89%
31,1994,27.44%
32,1993,45%
33,1992,54.34%
34,1991,48.8%
35,1990,48.52%
36,1989,75.65%
37,1988,58.22%
38,1987,29.5%
39,1986,23.03%
40,1985,27.98%
