,Year,Inflation rate compared to previous year
0,2024*,5.3%
1,2023*,5.3%
2,2022*,5.3%
3,2021*,5.3%
4,2020*,5.17%
5,2019*,4.38%
6,2018,4.62%
7,2017,5.27%
8,2016,6.34%
9,2015,4.58%
10,2014,6.09%
11,2013,5.76%
12,2012,5.62%
13,2011,4.99%
14,2010,4.26%
15,2009,7.12%
16,2008,10.99%
17,2007,7.15%
18,2006,4.62%
19,2005,3.35%
20,2004,1.43%
21,2003,5.87%
22,2002,9.15%
23,2001,5.64%
24,2000,5.39%
25,1999,5.08%
26,1998,6.98%
27,1997,8.63%
28,1996,7.35%
29,1995,8.75%
30,1994,8.84%
31,1993,9.66%
32,1992,14.06%
33,1991,15.21%
34,1990,14.21%
35,1989,14.76%
36,1988,12.94%
37,1987,16.23%
38,1986,18.41%
39,1985,16.39%
40,1984,11.34%
