,Country,Turnover in million euros
0,United Kingdom,82186.6
1,France,69266.6
2,Germany,61656.8
3,Italy,57073.6
4,Spain,44504.1
5,Netherlands,18653.5
6,Belgium,13265.1
7,Sweden,11382.5
8,Austria,10407.0
9,Portugal,8733.0
10,Ireland,7739.4
11,Poland,6440.8
12,Denmark,5871.3
13,Finland,5297.8
14,Greece,5236.8
15,Czech Republic,4778.4
16,Romania,3077.1
17,Hungary,2986.6
18,Croatia,1893.5
19,Slovakia,1503.2
20,Bulgaria,1427.5
21,Luxembourg,1275.6
22,Slovenia,1254.1
23,Cyprus,1178.2
24,Lithuania,724.7
25,Estonia,609.2
26,Latvia,608.5
27,Malta,449.5
