,Quarter,Number of monthly active users in millions
0,Q1 '19,262
1,Q4 '18,255
2,Q3 '18,259
3,Q2 '18,267
4,Q1 '18,267
5,Q4 '17,262
6,Q3 '17,261
7,Q2 '17,258
8,Q1 '17,257
9,Q4 '16,251
10,Q3 '16,250
11,Q2 '16,247
12,Q1 '16,245
13,Q4 '15,241
14,Q3 '15,241
15,Q2 '15,239
16,Q1 '15,236
17,Q4 '14,225
18,Q3 '14,221
19,Q2 '14,211
20,Q1 '14,198
21,Q4 '13,187
22,Q3 '13,179
23,Q2 '13,169
24,Q1 '13,156
25,Q4 '12,140
26,Q3 '12,127
27,Q2 '12,114
28,Q1 '12,104
29,Q4 '11,87
30,Q3 '11,74
31,Q2 '11,62
32,Q1 '11,49
33,Q4 '10,39
34,Q3 '10,35
35,Q2 '10,28
36,Q1 '10,20
