,Industry,Real value added in billion chained (2012) U.S. dollars
0,Manufacturing,88.79
1,"Finance, insurance, real estate, rental, and leasing",76.55
2,Professional and business services,65.72
3,Government and government enterprises,47.6
4,"Educational services, health care, and social assistance",44.72
5,Wholesale trade,32.33
6,Retail trade,31.09
7,Construction,16.71
8,"Arts, entertainment, recreation, accommodation, and food services",15.81
9,Information,14.24
10,Transportation and warehousing,11.63
11,Other services (except government and government enterprises),10.14
12,Utilities,9.24
13,"Agriculture, forestry, fishing, and hunting",4.23
14,"Mining, quarrying, and oil and gas extraction",2.36
