,city,"Murder rate per 100,000 inhabitants"
0,Los Cabos - Mexico,111.3
1,Caracas - Venezuela,111.2
2,Acapulco - Mexico,107.0
3,Natal - Brazil,102.6
4,Tijuana - Mexico,84.8
5,La Paz - Mexico,84.8
6,Fortaleza - Brazil,83.5
7,Ciudad Victoria - Mexico,83.3
8,Ciudad Guayana - Venezuela,80.3
9,Belém - Brazil,71.4
10,Vitória da Conquista - Brazil,70.3
11,Culiacán - Mexico,70.1
12,"St. Louis, Missouri - U.S.",65.8
13,Maceió - Brazil,63.9
14,Cape Town - South Africa,62.3
15,Kingston - Jamaica,59.7
16,San Salvador - El Salvador,59.1
17,Aracaju - Brazil,58.9
18,Feira de Santana - Brazil,58.8
19,Ciudad Juárez - Mexico,56.2
20,"Baltimore, Maryland - U.S.",55.5
21,Recife - Brazil,55.0
22,Maturín - Venezuela,54.4
23,Guatemala City - Guatemala,53.5
24,Salvador - Brazil,51.6
25,San Pedro Sula - Honduras,51.2
26,Valencia - Venezuela,49.7
27,Cali - Colombia,49.6
28,Chihuahua - Mexico,49.5
29,João Pessoa - Brazil,49.2
30,Ciudad Obregón - Mexico,49.1
31,San Juan - Puerto Rico,49.0
32,Barquisimeto - Venezuela,48.2
33,Manaus - Brazil,48.1
34,Distrito Central - Honduras,48.0
35,Tepic - Mexico,47.1
36,Palmira - Colombia,46.7
37,Reynosa - Mexico,42.0
38,Porto Alegre - Brazil,40.9
39,Macapá - Brazil,40.2
40,"New Orleans, Louisiana - U.S.",40.1
41,"Detroit, Michigan - U.S.",39.7
42,Mazatlán - Mexico,39.3
43,Durban - South Africa,38.1
44,Campos dos Goytacazes - Brazil,37.5
45,Nelson Mandela Bay - South Africa,37.5
46,Campina Grande - Mexico,37.3
47,Teresina - Brazil,37.1
48,Vitória - Brazil,36.1
49,Cúcuta - Colombia,34.8
